chembl_id,smiles,standard_value,bioactivity,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL426116,CCN1CCCN(C(=O)c2cc(Cc3nnc(O)c4ccccc34)ccc2F)CC1,7.0,active,408.47700000000015,3.233100000000002,1.0,5.0
CHEMBL202758,CN1CCCN(C(=O)c2cc(Cc3nnc(O)c4ccccc34)ccc2F)CC1,9.0,active,394.45000000000016,2.843000000000001,1.0,5.0
CHEMBL204862,COc1ccc(NC(=O)N2CCCN(C(=O)c3cccc(Cc4nnc(O)c5ccccc45)c3)CC2)cc1,8.0,active,511.5820000000002,4.3148000000000035,2.0,6.0
CHEMBL198230,CC1CCC2N=C(CCCN3CC=C(c4ccccc4)CC3)NC(=O)C2C1,274.0,active,365.5210000000002,3.889000000000003,1.0,3.0
CHEMBL45764,Nc1cc2nc(O)c3ccccc3c2cc1N,180.0,active,225.251,2.2579999999999996,3.0,4.0
CHEMBL419245,NC(=O)c1cccc(Cl)c1,22000.0,inactive,155.58399999999997,1.4389,1.0,1.0
CHEMBL1767058,O=C(Nc1cccc2c(=O)[nH]ccc12)c1cccs1,22400.0,inactive,270.313,2.8419000000000008,2.0,3.0
CHEMBL1094953,NC(=O)c1cccc2cn(-c3cccc(Cl)c3)nc12,14.0,active,271.707,2.777800000000001,1.0,3.0
CHEMBL418816,O=C(CCn1c2c(c(=O)[nH]c1=O)CCC2)NCC(=O)N1CCN(c2ncccn2)CC1,3000.0,intermediate,427.4650000000002,-1.329599999999997,2.0,8.0
CHEMBL492470,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCN(C(=O)N2CCOCC2)CC1,8.0,active,461.52200000000045,1.7238999999999998,1.0,5.0
CHEMBL523686,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(c2ncccn2)CC1,3.0,active,444.47000000000025,2.4054,1.0,6.0
CHEMBL494874,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCCN(C(=O)N2CCOCC2)CC1,8.0,active,493.5390000000005,2.2531000000000008,1.0,5.0
CHEMBL188949,Oc1nc(CCCN2CCCCC2)nc2ccccc12,1100.0,intermediate,271.364,2.7539000000000016,1.0,4.0
CHEMBL1094960,CNC(C)c1ccc(-n2cc3cccc(C(N)=O)c3n2)cc1,3.7,active,294.358,2.4048,2.0,4.0
CHEMBL2347902,NC(=O)c1cncc2[nH]c(C3CCCNC3)nc12,636.0,active,245.28599999999994,0.5237999999999998,3.0,4.0
CHEMBL2347901,NC(=O)c1cncc2[nH]c(C3CCNCC3)nc12,825.0,active,245.28599999999994,0.5237999999999998,3.0,4.0
CHEMBL481511,N#Cc1ccc(C2=CCN(CCCc3nc4c(Cl)cccc4c(=O)[nH]3)CC2)cc1,3.0,active,404.90100000000007,4.170080000000003,1.0,4.0
